id,lane,posX,posY,angle,tool
M6424VG500500,rear,252.087,-239.33,-40.9387,CFD_IIS_Matching1.xml
M6424VG500532,rear,174.66,-154.486,-1.97471,CFD_IIS_Matching1.xml
M6424VG500515,rear,257.487,-248.622,-23.3744,CFD_IIS_Matching1.xml
M6424VG500487,rear,-229.758,260.903,-4.43849,CFD_IIS_Matching1.xml
M6424VG500492,rear,-228.158,265.267,-0.210322,CFD_IIS_Matching1.xml
M6424VG500489,rear,263.323,-248.695,-24.5653,CFD_IIS_Matching1.xml
M6424VG500299,rear,-2.77791,8.369,-32.7609,CFD_IIS_Matching1.xml
M6424VG500537,rear,-122.595,152.891,-7.96533,CFD_IIS_Matching1.xml
M6424VG500512,rear,-230.34,256.325,-14.5556,CFD_IIS_Matching1.xml
M6424VG500497,rear,-121.078,141.962,-12.9956,CFD_IIS_Matching1.xml
M6424VG500535,rear,175.102,-157.105,-17.1054,CFD_IIS_Matching1.xml
M6424VG500534,rear,-13.1361,4.71994,-13.5697,CFD_IIS_Matching1.xml
M6424VG500531,rear,-7.67966,8.05006,-21.9339,CFD_IIS_Matching1.xml
M6424VG500495,rear,-2.60703,17.0703,21.6254,CFD_IIS_Matching1.xml
M6424VG500506,rear,180.023,-156.228,-24.4486,CFD_IIS_Matching1.xml
M6424VG500509,rear,259.048,-251,-25.0714,CFD_IIS_Matching1.xml
M6424VG500493,rear,-111.283,145.204,-33.0937,CFD_IIS_Matching1.xml
